Cust_id,Age,Account_balance,Personal_lone_ind,Home_lone_ind,Prime_Customer_ind,Overall_Satisfaction
100001,56,7296.54,1,0,1,Satisfied
100002,69,55617.11,1,0,1,Satisfied
100003,46,84268.52,1,0,1,Satisfied
100004,32,99688.08,0,1,0,Dissatisfied
100005,60,43603.97,1,1,0,Satisfied
100006,25,32709.58,1,0,0,Dissatisfied
100007,78,90758.68,0,0,0,Satisfied
100008,38,19932.97,1,1,1,Satisfied
100009,56,61927.46,0,0,1,Dissatisfied
100010,75,41165.73,1,0,1,Satisfied
100011,36,5067.15,0,1,1,Satisfied
100012,40,35381.56,1,0,1,Satisfied
100013,28,27257.62,1,0,0,Dissatisfied
100014,28,68923.02,0,0,1,Satisfied
100015,41,94930.26,1,1,0,Dissatisfied
100016,70,27536.67,0,0,0,Dissatisfied
100017,53,81335.13,0,1,1,Satisfied
100018,57,6480.62,0,0,1,Satisfied
100019,41,54273.98,0,1,1,Dissatisfied
100020,20,7984.46,0,1,0,Dissatisfied
100021,39,93469.27,1,0,1,Satisfied
100022,70,76868.78,0,0,0,Dissatisfied
100023,19,66137.04,1,1,0,Dissatisfied
100024,41,82565.74,0,1,0,Dissatisfied
100025,61,65104.46,1,0,0,Satisfied
100026,47,96925.5,1,1,0,Dissatisfied
100027,55,71681.84,0,0,1,Satisfied
100028,19,92541.2,1,0,0,Dissatisfied
100029,77,52196.06,1,1,1,Satisfied
100030,38,12589.38,1,0,0,Satisfied
100031,50,53289.59,0,0,0,Dissatisfied
100032,29,13560.41,0,1,0,Dissatisfied
100033,75,59656.85,1,1,1,Satisfied
100034,39,48766.81,1,1,1,Dissatisfied
100035,78,62634.96,0,1,0,Dissatisfied
100036,61,1994.65,0,1,0,Dissatisfied
100037,42,20289.21,1,0,1,Satisfied
100038,66,49641.71,1,0,0,Dissatisfied
100039,44,95099.85,1,0,0,Dissatisfied
100040,76,38977.29,0,0,0,Satisfied
100041,59,43012.83,0,1,0,Satisfied
100042,45,71754.91,0,0,0,Dissatisfied
100043,77,60775.48,0,0,0,Dissatisfied
100044,33,30593.69,0,1,0,Satisfied
100045,32,41670.82,1,0,0,Satisfied
100046,79,22552.28,1,0,0,Dissatisfied
100047,79,96636.12,1,0,1,Dissatisfied
100048,64,13932.8,0,1,0,Dissatisfied
100049,79,37811.84,0,0,0,Satisfied
100050,68,3558.06,0,0,0,Satisfied
100051,61,22956.17,0,0,0,Dissatisfied
100052,72,78266.64,1,0,1,Dissatisfied
100053,69,20916.35,0,0,0,Dissatisfied
100054,74,8926.28,0,1,1,Satisfied
100055,20,47970.86,0,0,1,Satisfied
100056,54,1986.95,0,0,1,Dissatisfied
100057,68,9391.85,1,1,0,Dissatisfied
100058,24,80954.96,0,1,0,Satisfied
100059,38,77375.86,1,0,0,Dissatisfied
100060,26,91598.74,1,0,1,Dissatisfied
100061,56,85597.03,0,1,0,Satisfied
100062,35,68634.38,0,0,1,Dissatisfied
100063,21,6180.95,1,0,0,Satisfied
100064,42,78502.01,1,0,0,Satisfied
100065,77,84705.57,0,0,0,Satisfied
100066,31,80109.13,0,1,0,Dissatisfied
100067,67,51339.42,0,0,0,Dissatisfied
100068,75,24057.28,0,0,0,Dissatisfied
100069,26,84687.67,0,1,0,Dissatisfied
100070,43,72989.12,0,0,1,Satisfied
100071,70,98095.36,0,0,0,Dissatisfied
100072,19,16413.57,0,0,0,Satisfied
100073,37,23340.79,0,1,0,Dissatisfied
100074,45,21968.02,1,0,1,Dissatisfied
100075,64,79461.44,1,1,0,Dissatisfied
100076,77,19503.82,1,0,1,Satisfied
100077,24,7599.32,0,1,0,Satisfied
100078,61,99857.52,1,1,1,Dissatisfied
100079,78,3456.9,0,1,0,Satisfied
100080,25,83689.16,1,0,0,Dissatisfied
100081,64,37171.32,0,0,1,Dissatisfied
100082,52,84319.93,0,0,1,Dissatisfied
100083,31,55907.43,1,0,1,Dissatisfied
100084,34,90261.49,1,0,0,Satisfied
100085,53,92693.11,1,0,0,Dissatisfied
100086,67,1900.72,0,1,0,Satisfied
100087,57,8465.81,0,1,0,Dissatisfied
100088,21,25785.51,0,0,0,Satisfied
100089,19,67262.23,1,0,0,Dissatisfied
100090,79,88938.95,1,1,0,Dissatisfied
100091,23,46534.25,1,0,1,Satisfied
100092,71,61090.34,0,0,0,Dissatisfied
100093,59,19661.49,1,0,0,Satisfied
100094,21,80691.72,0,0,0,Dissatisfied
100095,71,96765.48,0,1,0,Satisfied
100096,46,27591.29,1,1,0,Dissatisfied
100097,35,49987.77,1,0,0,Satisfied
100098,43,9525.49,0,0,1,Dissatisfied
100099,61,56354.53,0,0,0,Satisfied
100100,51,50775.56,0,1,0,Dissatisfied
100101,27,15299.21,0,1,0,Dissatisfied
100102,79,44764.56,0,0,0,Dissatisfied
100103,53,34076.36,0,1,0,Satisfied
100104,31,52661.26,0,0,0,Satisfied
