Id,Active_cust,estimated_income,months_on_network,complaints_count,plan_changes_count,relocated_new_place,monthly_bill_avg,CSAT_Survay_Score,high_talktime_flag,internet_time
1,Yes,64618,74,1,0,No,174.1,1,No,142
2,No,89145,75,0,1,No,149.17,2,No,152
3,No,77505,75,1,0,No,58.37,4,No,114
4,Yes,48906,62,1,0,No,172.51,3,No,192
5,Yes,100742,29,0,2,No,66.55,4,Yes,124
6,Yes,34283,69,1,2,No,179.82,2,No,113
7,Yes,70513,64,1,0,No,58.49,2,No,29
8,No,48542,69,0,1,No,190.98,5,Yes,65
9,Yes,35255,19,0,2,Yes,34.73,2,Yes,17
10,No,42316,9,2,4,No,150.82,5,Yes,57
11,Yes,64015,105,0,4,No,98.83,2,No,140
12,No,71994,32,1,2,No,92.13,2,No,32
13,No,86178,109,0,3,No,67.87,1,Yes,45
14,Yes,94520,93,0,1,No,101.99,4,No,187
15,Yes,70553,3,0,0,No,30.41,1,No,122
16,Yes,56136,15,0,2,Yes,104.81,3,No,53
17,Yes,85780,109,0,3,No,101.09,3,Yes,53
18,Yes,52707,91,1,1,No,117.45,1,No,222
19,Yes,33087,30,2,0,No,144.07,4,Yes,60
20,Yes,83780,9,1,1,Yes,183.22,2,No,229
21,Yes,91478,58,1,1,No,176.53,3,No,30
22,Yes,48563,64,0,4,No,199.82,5,Yes,76
23,Yes,104216,39,1,0,No,59.16,5,No,129
24,Yes,76661,40,2,2,No,198.34,2,No,175
25,Yes,73679,108,0,1,No,177.9,1,Yes,54
26,No,54666,101,2,0,No,30.9,2,Yes,189
27,Yes,85345,20,2,4,No,197.41,2,No,212
28,Yes,34512,27,0,1,No,151.22,4,No,41
29,Yes,58204,8,0,0,No,60.48,1,Yes,2
30,Yes,50336,20,1,3,No,157.77,4,Yes,65
31,Yes,38821,116,1,3,No,177.65,5,No,4
32,Yes,82259,80,1,0,No,153.62,2,No,98
33,Yes,71822,62,0,4,No,86.41,2,No,214
34,No,81093,63,0,0,No,96.76,5,No,156
35,No,59433,6,2,1,Yes,118.88,1,No,168
36,No,84701,48,2,2,No,38.24,5,Yes,157
37,Yes,66542,18,0,0,No,85.77,1,No,158
38,Yes,55557,2,2,1,No,56.63,3,No,9
39,Yes,52222,81,0,3,No,105.09,5,No,220
40,Yes,25341,85,1,0,Yes,105.83,5,No,194
41,Yes,88287,9,1,0,No,194.6,5,Yes,199
42,Yes,86018,82,1,3,No,50.65,5,No,188
43,Yes,123547,110,1,1,Yes,160.8,5,No,172
44,No,58307,22,0,2,No,95.12,1,No,56
45,Yes,51664,67,0,3,No,49.51,2,No,30
46,Yes,30971,10,2,1,No,133.93,1,Yes,206
47,Yes,84199,82,1,1,No,115.42,3,No,161
48,Yes,79596,50,1,1,No,106.71,5,Yes,95
49,Yes,96035,19,1,4,No,149.7,4,No,40
50,Yes,46667,19,1,2,No,91.82,5,Yes,89
51,No,79327,54,0,4,No,53.31,1,No,218
52,No,54559,22,1,4,No,31.49,1,No,64
53,No,91874,89,0,1,Yes,42.61,2,No,5
54,No,75724,108,0,1,No,180.58,2,No,188
55,Yes,33886,7,1,1,No,103.15,3,Yes,147
56,No,62376,3,0,2,No,192.42,2,Yes,189
57,Yes,26037,13,0,0,No,179.26,4,Yes,77
58,Yes,41734,64,3,1,No,98.84,1,No,80
59,Yes,42944,78,0,1,No,75.18,2,Yes,8
60,Yes,52181,18,2,2,Yes,191.47,3,No,111
61,Yes,59746,26,0,2,Yes,89.1,1,No,175
62,Yes,68291,16,0,1,Yes,115.72,2,No,150
63,No,67290,26,1,4,No,152.94,1,No,23
64,Yes,64522,41,3,3,No,55.79,5,No,160
65,Yes,71647,15,1,3,No,133.46,5,Yes,89
66,Yes,40004,87,0,3,No,190.17,1,No,185
67,Yes,66463,76,1,4,No,117.95,2,Yes,26
68,No,93689,88,0,4,No,95.18,1,Yes,3
69,Yes,61683,49,0,3,No,115.67,4,Yes,92
70,No,74893,97,1,3,No,156.86,4,Yes,108
71,No,73032,119,2,4,No,144.62,4,No,21
72,Yes,82245,5,0,3,Yes,107.27,3,No,2
73,Yes,70742,97,0,2,No,97.33,2,Yes,158
74,No,81907,57,0,1,No,148.46,5,No,83
75,No,75145,13,1,2,No,144.75,1,Yes,140
76,No,78145,75,1,3,No,192.29,4,No,204
77,No,73842,36,0,1,Yes,134.17,2,No,146
78,Yes,44864,75,1,1,No,110.15,2,Yes,36
79,Yes,41584,21,0,1,No,140.2,2,Yes,111
80,Yes,57935,21,0,3,No,73.48,2,Yes,225
81,No,96032,45,0,0,No,136.68,3,No,210
82,Yes,61566,57,0,0,Yes,39.81,1,Yes,37
83,Yes,71191,59,0,4,No,82.83,5,No,30
84,Yes,25653,6,0,2,No,96.4,5,Yes,84
85,Yes,68874,63,0,0,No,70.99,3,Yes,238
86,Yes,66718,94,0,3,No,181.54,2,No,80
87,No,20000,115,0,2,Yes,155.74,1,No,18
88,Yes,70817,95,0,3,No,70.13,4,Yes,199
89,No,31980,114,0,1,No,95.44,5,No,18
90,Yes,50493,18,0,2,No,120.4,1,No,176
91,Yes,84889,26,1,0,No,151.87,4,No,173
92,No,68149,92,0,4,No,127.32,3,Yes,175
93,No,56030,35,0,0,No,65.49,3,Yes,40
94,Yes,54318,16,2,2,No,121.64,1,Yes,103
95,No,56640,12,0,1,No,79.97,5,No,60
96,Yes,68217,29,0,0,No,106.5,1,Yes,55
97,Yes,40987,73,0,0,No,116.1,4,No,143
98,Yes,87488,46,0,2,No,138.88,2,No,87
99,Yes,42048,0,2,4,No,129.95,2,No,228
100,Yes,30458,38,0,2,No,68.03,1,Yes,198
101,Yes,84823,97,0,0,No,131.49,5,No,140
102,Yes,56261,60,0,4,Yes,172.11,2,No,152
103,Yes,66409,85,1,2,No,195.23,4,No,16
104,Yes,78092,69,1,4,No,137.12,3,Yes,128
105,No,50611,29,0,0,No,42.27,2,No,62
106,Yes,67742,2,1,1,No,180.41,1,Yes,189
107,Yes,77964,20,0,0,No,89.5,1,No,46
108,No,97864,53,1,2,Yes,192.25,2,No,158
109,Yes,54778,90,1,2,No,166.86,4,Yes,108
110,Yes,55741,28,2,2,No,35.78,1,Yes,43
111,Yes,76266,45,0,1,No,98.75,4,Yes,108
112,Yes,69171,46,0,3,No,169.53,3,No,62
113,No,62259,74,0,3,No,147.73,5,No,160
114,No,96853,12,2,0,No,75.58,2,No,168
115,Yes,31351,101,0,1,No,147.09,5,No,134
116,No,36565,83,0,2,No,62.14,2,No,29
117,No,31582,65,1,3,No,183.0,2,No,22
118,Yes,89033,91,0,3,Yes,107.54,5,Yes,83
119,No,75294,17,0,0,No,97.64,4,No,13
120,Yes,37585,94,0,2,No,76.16,4,Yes,35
121,No,62539,19,1,3,No,89.57,4,Yes,230
122,No,64446,44,0,2,No,135.12,1,No,197
123,Yes,20815,13,0,1,No,79.14,1,No,55
124,Yes,68765,116,0,3,Yes,178.3,3,No,188
125,Yes,41449,113,1,0,No,143.92,4,No,192
126,Yes,79133,71,0,3,No,79.96,4,No,95
127,No,42061,89,1,0,No,187.58,3,No,100
128,No,69383,43,1,3,No,123.22,3,No,115
129,Yes,90891,20,1,1,No,60.58,1,Yes,167
130,Yes,84491,22,5,0,No,160.72,2,No,108
131,Yes,75143,117,1,3,No,113.18,3,No,14
132,Yes,63373,69,1,2,Yes,66.95,2,Yes,97
133,Yes,34997,82,0,0,No,77.74,4,No,24
134,Yes,56218,25,1,4,Yes,131.48,4,Yes,180
135,No,60479,2,1,1,Yes,142.91,4,No,183
136,Yes,59043,65,1,1,No,150.51,2,No,159
137,Yes,34329,112,0,1,No,181.47,4,No,34
138,No,73688,70,0,2,No,198.81,1,Yes,150
139,Yes,41381,12,1,4,No,118.81,3,No,75
140,No,95922,13,2,4,No,132.03,4,No,115
141,No,67960,73,0,1,Yes,156.05,1,No,32
142,Yes,84585,92,1,3,No,39.48,5,Yes,101
143,Yes,84171,91,0,2,No,151.5,1,Yes,47
144,Yes,106558,83,1,2,No,114.64,3,No,74
145,Yes,68637,5,1,3,No,153.01,4,No,106
146,Yes,57198,20,0,2,No,183.25,2,No,155
147,Yes,57584,73,1,0,No,135.43,3,Yes,217
148,Yes,94922,70,1,0,No,41.67,3,Yes,126
149,Yes,38595,2,0,3,No,172.48,2,Yes,222
150,Yes,47437,57,1,4,No,93.38,4,No,165
151,No,69739,11,0,1,No,125.17,3,No,36
152,Yes,61944,46,1,3,No,67.71,5,Yes,2
153,Yes,84352,82,0,0,No,162.51,4,Yes,82
154,Yes,38226,106,1,3,No,108.25,4,No,74
155,No,63661,90,3,1,No,156.48,1,Yes,39
156,Yes,61259,108,1,2,No,185.83,4,Yes,109
157,Yes,43555,16,1,2,No,60.23,4,Yes,110
158,No,82573,19,1,0,No,61.12,3,No,104
159,Yes,63164,55,1,3,No,181.32,1,Yes,159
160,No,62318,10,0,4,No,193.98,1,No,158
161,Yes,48505,119,0,1,No,75.88,5,No,124
162,Yes,57602,86,1,2,No,54.46,4,No,98
163,Yes,44567,90,1,4,No,79.87,3,No,172
164,Yes,82275,102,1,0,No,83.0,3,Yes,130
165,Yes,85656,29,2,2,Yes,143.25,5,No,148
166,No,98601,92,1,2,No,82.84,5,Yes,147
167,Yes,73681,36,3,0,No,63.6,5,No,92
168,Yes,58215,65,1,1,No,116.8,3,No,141
169,Yes,55620,0,1,4,No,190.25,2,No,163
170,Yes,74812,18,1,0,No,164.24,3,Yes,21
171,Yes,69017,53,0,4,No,59.49,3,No,71
172,Yes,61515,24,0,0,No,118.72,2,No,163
173,Yes,59758,68,0,3,No,67.04,1,No,237
174,Yes,88423,25,1,4,No,197.4,1,Yes,162
175,Yes,56363,38,1,0,No,116.59,2,No,182
176,Yes,91933,24,0,3,No,139.21,4,No,100
177,Yes,68642,103,2,1,No,106.69,1,No,173
178,Yes,57642,98,0,2,No,118.25,3,No,228
179,No,49294,6,0,0,No,72.64,1,No,207
180,Yes,61909,65,3,1,No,99.95,4,Yes,110
181,Yes,75067,53,0,3,Yes,61.46,1,No,108
182,Yes,57459,106,1,1,No,118.79,2,No,233
183,No,82006,90,3,3,No,39.89,3,Yes,118
184,No,56460,15,0,4,No,127.42,3,Yes,216
185,Yes,62504,32,0,4,No,94.03,2,No,157
186,Yes,39266,46,0,3,No,145.61,1,Yes,183
187,No,76189,59,0,3,No,165.61,2,Yes,140
188,Yes,59656,83,0,3,No,30.18,1,No,112
189,Yes,96577,18,0,1,No,41.98,1,No,237
190,Yes,79096,56,0,3,No,176.58,5,Yes,232
191,Yes,66689,102,0,3,No,140.76,3,No,192
192,No,89503,33,0,4,Yes,68.47,1,Yes,140
193,No,73102,68,0,4,No,133.5,1,Yes,16
194,Yes,85165,86,0,0,No,158.02,5,No,23
195,Yes,47752,46,0,1,No,156.79,1,No,132
